iter	Passed	Remaining
527	9067	1708267
528	9085	1708414
529	9101	1708080
530	9118	1708200
531	9133	1707715
532	9152	1707984
533	9169	1707945
534	9185	1707661
535	9204	1707977
536	9222	1708137
537	9239	1708212
538	9254	1707719
539	9273	1707986
540	9291	1708122
541	9308	1708127
542	9324	1707973
543	9342	1708037
544	9358	1707781
545	9376	1707895
546	9391	1707535
547	9409	1707676
548	9427	1707815
549	9445	1707933
550	9463	1708072
551	9478	1707614
552	9495	1707667
553	9513	1707781
554	9530	1707721
555	9546	1707496
556	9564	1707553
557	9582	1707699
558	9600	1707892
559	9618	1707936
560	9633	1707496
561	9650	1707582
562	9668	1707621
563	9685	1707636
564	9703	1707752
565	9721	1707822
566	9738	1707815
567	9754	1707617
568	9773	1707939
569	9791	1708020
570	9808	1707986
571	9824	1707708
572	9842	1707814
573	9858	1707595
574	9876	1707811
575	9894	1707847
576	9911	1707869
577	9929	1707922
578	9946	1708011
579	9964	1707982
580	9980	1707886
581	9998	1707968
582	10015	1707962
583	10033	1707996
584	10050	1708015
585	10068	1708029
586	10082	1707587
587	10101	1707845
588	10119	1708015
589	10137	1708133
590	10155	1708200
591	10173	1708333
592	10198	1709671
593	10223	1710977
594	10247	1712050
595	10270	1712947
596	10288	1713122
597	10307	1713284
598	10324	1713360
599	10342	1713434
600	10360	1713461
601	10377	1713420
602	10392	1713041
603	10410	1713255
604	10426	1712908
605	10443	1712940
606	10459	1712743
607	10477	1712779
608	10492	1712403
609	10510	1712589
610	10525	1712076
611	10542	1712113
612	10559	1712033
613	10576	1711996
614	10589	1711281
615	10606	1711260
616	10623	1711144
617	10639	1711021
618	10656	1710919
619	10673	1710824
620	10689	1710570
621	10703	1710131
622	10720	1709995
623	10734	1709498
624	10750	1709344
625	10763	1708700
626	10780	1708637
627	10794	1708106
628	10811	1707968
629	10824	1707319
630	10842	1707499
631	10859	1707454
632	10872	1706780
633	10889	1706681
634	10903	1706185
635	10919	1706032
636	10934	1705633
637	10951	1705532
638	10967	1705330
639	10980	1704686
640	10996	1704554
641	11013	1704468
642	11027	1703976
643	11044	1704003
644	11058	1703395
645	11075	1703325
646	11089	1702879
647	11106	1702927
648	11122	1702647
649	11137	1702346
650	11154	1702323
651	11170	1702172
652	11184	1701597
653	11201	1701590
654	11217	1701356
655	11232	1701030
656	11246	1700616
657	11264	1700650
658	11278	1700140
659	11295	1700177
660	11311	1700033
661	11326	1699583
662	11343	1699547
663	11357	1699114
664	11375	1699162
665	11388	1698669
666	11405	1698545
667	11420	1698213
668	11438	1698322
669	11454	1698149
670	11469	1697888
671	11486	1697774
672	11501	1697554
673	11516	1697181
674	11533	1697155
675	11550	1697159
676	11568	1697284
677	11582	1696820
678	11599	1696755
679	11613	1696247
680	11630	1696173
681	11644	1695694
682	11661	1695696
683	11677	1695513
684	11693	1695350
685	11710	1695348
686	11727	1695332
687	11740	1694746
688	11757	1694730
689	11771	1694276
690	11789	1694329
691	11805	1694238
692	11821	1694025
693	11838	1693993
694	11855	1693904
695	11871	1693870
696	11888	1693776
697	11902	1693365
698	11921	1693527
699	11937	1693448
700	11953	1693270
701	11969	1693020
702	11985	1692959
703	12001	1692807
704	12018	1692717
705	12034	1692609
706	12050	1692449
707	12064	1692025
708	12081	1691959
709	12095	1691449
710	12111	1691311
711	12126	1691073
712	12141	1690797
713	12159	1690835
714	12175	1690734
715	12192	1690613
716	12206	1690245
717	12224	1690300
718	12241	1690334
719	12257	1690202
720	12275	1690309
721	12291	1690109
722	12306	1689881
723	12324	1690004
724	12341	1689992
725	12356	1689604
726	12372	1689522
727	12385	1688901
728	12402	1688912
729	12418	1688781
730	12431	1688249
731	12450	1688371
732	12466	1688300
733	12482	1688180
734	12499	1688095
735	12516	1688121
736	12533	1688092
737	12549	1687884
738	12565	1687815
739	12579	1687345
740	12596	1687332
741	12613	1687312
742	12626	1686817
743	12642	1686676
744	12660	1686670
745	12675	1686497
746	12692	1686392
747	12706	1686040
748	12724	1686188
749	12742	1686201
750	12761	1686470
751	12778	1686531
752	12794	1686398
753	12811	1686354
754	12827	1686153
755	12844	1686213
756	12861	1686130
757	12875	1685758
758	12892	1685768
759	12909	1685674
760	12926	1685721
761	12943	1685643
762	12957	1685249
763	12973	1685142
764	12990	1685085
765	13007	1685065
766	13022	1684819
767	13039	1684770
768	13055	1684622
769	13070	1684454
770	13086	1684229
771	13103	1684280
772	13119	1684097
773	13134	1683802
774	13151	1683832
775	13164	1683268
776	13181	1683273
777	13198	1683227
778	13213	1683061
779	13229	1682863
780	13246	1682789
781	13262	1682669
782	13276	1682322
783	13292	1682227
784	13309	1682127
785	13324	1681864
786	13339	1681663
787	13357	1681795
788	13374	1681777
789	13389	1681529
790	13407	1681571
791	13423	1681519
792	13441	1681569
793	13458	1681520
794	13474	1681475
795	13490	1681251
796	13506	1681193
797	13520	1680834
798	13537	1680720
799	13552	1680563
800	13570	1680645
801	13586	1680502
802	13602	1680411
803	13618	1680283
804	13636	1680318
805	13652	1680256
806	13667	1679994
807	13685	1680070
808	13700	1679757
809	13717	1679765
810	13732	1679541
811	13747	1679312
812	13765	1679411
813	13781	1679319
814	13799	1679393
815	13816	1679387
816	13830	1679060
817	13847	1679056
818	13864	1679003
819	13882	1679065
820	13898	1679004
821	13914	1678844
822	13930	1678770
823	13948	1678847
824	13962	1678486
825	13979	1678478
826	13994	1678149
827	14010	1678115
828	14028	1678247
829	14045	1678186
830	14061	1678103
831	14076	1677824
832	14094	1677867
833	14109	1677630
834	14125	1677553
835	14142	1677527
836	14155	1677086
837	14172	1677062
838	14189	1677042
839	14203	1676701
840	14220	1676648
841	14234	1676369
842	14251	1676339
843	14268	1676263
844	14285	1676266
845	14301	1676216
846	14317	1676091
847	14334	1676104
848	14350	1675965
849	14365	1675687
850	14383	1675861
851	14400	1675765
852	14416	1675688
853	14431	1675487
854	14449	1675536
855	14463	1675192
856	14481	1675295
857	14498	1675275
858	14515	1675267
859	14531	1675221
860	14548	1675177
861	14565	1675179
862	14582	1675206
863	14599	1675124
864	14615	1674988
865	14631	1674867
866	14647	1674776
867	14664	1674793
868	14677	1674357
869	14694	1674317
870	14730	1676502
871	14756	1677529
872	14775	1677698
873	14792	1677754
874	14809	1677746
875	14828	1677975
876	14846	1678051
877	14863	1678065
878	14880	1678022
879	14895	1677804
880	14912	1677821
881	14928	1677631
882	14945	1677626
883	14961	1677544
884	14977	1677384
885	14993	1677312
886	15009	1677140
887	15027	1677266
888	15044	1677280
889	15062	1677303
890	15075	1676919
891	15093	1676978
892	15111	1677079
893	15128	1677129
894	15144	1677007
895	15160	1676875
896	15177	1676815
897	15190	1676425
898	15208	1676504
899	15224	1676358
900	15241	1676353
901	15254	1675970
902	15271	1675906
903	15288	1675888
904	15304	1675836
905	15319	1675624
906	15337	1675653
907	15353	1675537
908	15370	1675540
909	15385	1675374
910	15402	1675351
911	15419	1675327
912	15436	1675326
913	15453	1675281
914	15469	1675209
915	15485	1675031
916	15502	1675076
917	15518	1674920
918	15533	1674742
919	15550	1674769
920	15567	1674712
921	15581	1674391
922	15598	1674387
923	15613	1674169
924	15631	1674249
925	15645	1673970
926	15663	1674050
927	15679	1673974
928	15696	1673934
929	15715	1674077
930	15733	1674228
931	15751	1674339
932	15789	1676553
933	15842	1680379
934	15863	1680772
935	15887	1681463
936	15902	1681217
937	15919	1681289
938	15937	1681311
939	15954	1681362
940	15971	1681346
941	15986	1681068
942	16004	1681154
943	16020	1681067
944	16035	1680877
945	16057	1681363
946	16071	1681002
947	16089	1681147
948	16107	1681167
949	16121	1680882
950	16139	1680968
951	16155	1680894
952	16170	1680619
953	16188	1680727
954	16203	1680481
955	16220	1680471
956	16236	1680409
957	16252	1680290
958	16269	1680227
959	16285	1680169
960	16301	1680055
961	16317	1679907
962	16334	1679902
963	16352	1679973
964	16369	1679927
965	16382	1679502
966	16398	1679460
967	16413	1679223
968	16433	1679468
969	16449	1679344
970	16463	1679100
971	16481	1679190
972	16499	1679222
973	16512	1678783
974	16529	1678825
975	16546	1678779
976	16563	1678766
977	16578	1678537
978	16595	1678532
979	16612	1678583
980	16630	1678580
981	16646	1678483
982	16662	1678356
983	16679	1678397
984	16696	1678404
985	16711	1678209
986	16729	1678243
987	16746	1678217
988	16759	1677872
989	16777	1677874
990	16793	1677836
991	16809	1677685
992	16830	1678041
993	16843	1677705
994	16860	1677627
995	16877	1677601
996	16893	1677568
997	16911	1677632
998	16928	1677611
999	16928	1677611
1000	16943	1677354
1001	16959	1677253
1002	17003	1679950
1003	17020	1679968
1004	17040	1680182
1005	17073	1681737
1006	17092	1681976
1007	17214	1692228
1008	17250	1694093
1009	17280	1695355
1010	17312	1696776
1011	17356	1699420
1012	17461	1707951
1013	17493	1709377
1014	17515	1709794
1015	17565	1713024
1016	17594	1714104
1017	17657	1718554
1018	17686	1719676
1019	17707	1720053
1020	17726	1720145
1021	17749	1720686
1022	17768	1720826
1023	17788	1721071
1024	17807	1721211
1025	17831	1721831
1026	17851	1722081
1027	17872	1722341
1028	17892	1722600
1029	17916	1723193
1030	17939	1723761
1031	17962	1724225
1032	17996	1725866
1033	18024	1726780
1034	18048	1727426
1035	18069	1727795
1036	18094	1728475
1037	18112	1728532
1038	18130	1728559
1039	18152	1728950
1040	18175	1729414
1041	18194	1729537
1042	18215	1729893
1043	18232	1729817
1044	18248	1729692
1045	18272	1730234
1046	18296	1730853
1047	18318	1731278
1048	18355	1733090
1049	18393	1734983
1050	18415	1735387
1051	18438	1735940
1052	18470	1737305
1053	18526	1740888
1054	18675	1753212
1055	18722	1755939
1056	18745	1756410
1057	18768	1756879
1058	18798	1758000
1059	18822	1758548
1060	18843	1758840
1061	18863	1759028
1062	18884	1759273
1063	18908	1759857
1064	18924	1759650
1065	18942	1759645
1066	18955	1759253
1067	18981	1759953
1068	19001	1760117
1069	19019	1760165
1070	19033	1759808
1071	19057	1760352
1072	19073	1760168
1073	19088	1759892
1074	19104	1759662
1075	19118	1759326
1076	19136	1759290
1077	19153	1759246
1078	19166	1758755
1079	19182	1758567
1080	19195	1758138
1081	19213	1758135
1082	19236	1758623
1083	19252	1758391
1084	19267	1758139
1085	19283	1757940
1086	19298	1757714
1087	19318	1757907
1088	19334	1757741
1089	19350	1757575
1090	19365	1757228
1091	19380	1757028
1092	19395	1756749
1093	19413	1756762
1094	19428	1756484
1095	19445	1756338
1096	19462	1756270
1097	19475	1755871
1098	19492	1755758
1099	19509	1755636
1100	19526	1755631
1101	19548	1755927
1102	19563	1755696
1103	19579	1755552
1104	19593	1755133
1105	19609	1754995
1106	19624	1754690
1107	19643	1754850
1108	19659	1754664
1109	19682	1755063
1110	19698	1754906
1111	19711	1754494
1112	19727	1754302
1113	19743	1754128
1114	19758	1753895
1115	19771	1753472
1116	19788	1753362
1117	19804	1753182
1118	19825	1753483
1119	19849	1753961
1120	19865	1753856
1121	19881	1753620
1122	19897	1753469
1123	19911	1753144
1124	19928	1753079
1125	19943	1752785
1126	19963	1752998
1127	19982	1753104
1128	20003	1753313
1129	20020	1753246
1130	20040	1753473
1131	20057	1753323
1132	20073	1753167
1133	20092	1753270
1134	20107	1753022
1135	20121	1752675
1136	20137	1752517
1137	20152	1752216
1138	20167	1751998
1139	20185	1752039
1140	20202	1751919
1141	20218	1751758
1142	20234	1751578
1143	20249	1751376
1144	20264	1751101
1145	20278	1750720
1146	20294	1750559
1147	20311	1750498
1148	20326	1750255
1149	20341	1749994
1150	20356	1749714
1151	20370	1749444
1152	20385	1749198
1153	20400	1748951
1154	20416	1748760
1155	20433	1748716
1156	20450	1748580
1157	20465	1748338
1158	20478	1747958
1159	20493	1747718
1160	20506	1747314
1161	20522	1747120
1162	20537	1746876
1163	20551	1746532
1164	20567	1746352
1165	20584	1746304
1166	20600	1746134
1167	20613	1745749
1168	20628	1745527
1169	20642	1745177
1170	20659	1745051
1171	20674	1744842
1172	20688	1744546
1173	20709	1744804
1174	20726	1744740
1175	20742	1744537
1176	20756	1744199
1177	20771	1743960
1178	20785	1743664
1179	20800	1743414
1180	20816	1743263
1181	20831	1743016
1182	20851	1743199
1183	20867	1743094
1184	20883	1742875
1185	20898	1742632
1186	20913	1742446
1187	20927	1742113
1188	20942	1741899
1189	20957	1741624
1190	20973	1741491
1191	20993	1741694
1192	21009	1741542
1193	21023	1741175
1194	21038	1740978
1195	21053	1740720
1196	21068	1740508
1197	21081	1740128
1198	21098	1740006
1199	21111	1739616
1200	21130	1739767
1201	21147	1739640
1202	21162	1739432
1203	21176	1739126
1204	21192	1739002
1205	21207	1738750
1206	21222	1738471
1207	21236	1738227
1208	21252	1738002
1209	21269	1737965
1210	21284	1737764
1211	21298	1737474
1212	21315	1737376
1213	21329	1737094
1214	21346	1736965
1215	21361	1736798
1216	21376	1736578
1217	21396	1736735
1218	21413	1736626
1219	21426	1736252
1220	21442	1736095
1221	21456	1735853
1222	21472	1735650
1223	21485	1735280
1224	21500	1735069
1225	21515	1734808
1226	21531	1734674
1227	21547	1734566
1228	21561	1734240
1229	21577	1734085
1230	21592	1733900
1231	21608	1733759
1232	21625	1733634
1233	21637	1733236
1234	21654	1733145
1235	21676	1733476
1236	21691	1733255
1237	21705	1732943
1238	21721	1732810
1239	21735	1732536
1240	21751	1732354
1241	21766	1732143
1242	21780	1731900
1243	21795	1731643
1244	21819	1732135
1245	21839	1732332
1246	21854	1732106
1247	21871	1732035
1248	21890	1732109
1249	21903	1731771
1250	21919	1731652
1251	21934	1731431
1252	21954	1731595
1253	21980	1732209
1254	21998	1732219
1255	22013	1731995
1256	22029	1731898
1257	22043	1731620
1258	22060	1731577
1259	22076	1731423
1260	22096	1731610
1261	22120	1732072
1262	22139	1732176
1263	22158	1732253
1264	22173	1732028
1265	22188	1731789
1266	22204	1731692
1267	22222	1731707
1268	22253	1732702
1269	22272	1732800
1270	22289	1732774
1271	22306	1732701
1272	22326	1732900
1273	22345	1732996
1274	22376	1733981
1275	22397	1734247
1276	22414	1734206
1277	22431	1734092
1278	22444	1733723
1279	22468	1734256
1280	22509	1736061
1281	22550	1737827
1282	22586	1739210
1283	22617	1740191
1284	22653	1741603
1285	22792	1750921
1286	22818	1751510
1287	22838	1751661
1288	22855	1751599
1289	22872	1751553
1290	22887	1751341
1291	22918	1752281
1292	22938	1752485
1293	22962	1752922
1294	22979	1752855
1295	22997	1752830
1296	23013	1752672
1297	23042	1753558
1298	23067	1754057
1299	23088	1754282
1300	23103	1754061
1301	23123	1754195
1302	23138	1753958
1303	23156	1753994
1304	23185	1754816
1305	23207	1755134
1306	23229	1755412
1307	23248	1755480
1308	23264	1755324
1309	23281	1755243
1310	23308	1755917
1311	23332	1756429
1312	23356	1756841
1313	23371	1756582
1314	23387	1756486
1315	23402	1756214
1316	23418	1756108
1317	23443	1756637
1318	23468	1757127
1319	23490	1757389
1320	23509	1757528
1321	23536	1758127
1322	23561	1758675
1323	23583	1759001
1324	23602	1759016
1325	23619	1758987
1326	23639	1759133
1327	23658	1759179
1328	23672	1758859
1329	23688	1758745
1330	23705	1758641
1331	23722	1758548
1332	23747	1759072
1333	23764	1758991
1334	23777	1758631
1335	23794	1758567
1336	23811	1758441
1337	23824	1758128
1338	23849	1758635
1339	23879	1759471
1340	23902	1759868
1341	23921	1759946
1342	23942	1760147
1343	23965	1760511
1344	23979	1760188
1345	23995	1760020
1346	24012	1759941
1347	24027	1759768
1348	24041	1759425
1349	24063	1759701
1350	24078	1759476
1351	24095	1759442
1352	24113	1759382
1353	24129	1759269
1354	24145	1759139
1355	24173	1759819
1356	24190	1759743
1357	24206	1759608
1358	24220	1759334
1359	24238	1759312
1360	24254	1759157
1361	24284	1760026
1362	24303	1760087
1363	24324	1760310
1364	24343	1760387
1365	24361	1760373
1366	24376	1760115
1367	24392	1759964
1368	24415	1760345
1369	24432	1760242
1370	24445	1759859
1371	24460	1759688
1372	24475	1759443
1373	24488	1759086
1374	24504	1758919
1375	24520	1758793
1376	24540	1758876
1377	24558	1758916
1378	24574	1758754
1379	24589	1758517
1380	24604	1758344
1381	24620	1758151
1382	24633	1757783
1383	24649	1757632
1384	24665	1757478
1385	24684	1757583
1386	24703	1757632
1387	24715	1757240
1388	24731	1757070
1389	24747	1756923
1390	24763	1756778
1391	24776	1756415
1392	24792	1756272
1393	24811	1756315
1394	24829	1756349
1395	24843	1756003
1396	24858	1755840
1397	24871	1755490
1398	24889	1755444
1399	24905	1755302
1400	24920	1755094
1401	24932	1754680
1402	24955	1755018
1403	24971	1754881
1404	24986	1754695
1405	25000	1754393
1406	25017	1754282
1407	25029	1753905
1408	25057	1754606
1409	25079	1754840
1410	25100	1755042
1411	25119	1755146
1412	25134	1754910
1413	25147	1754556
1414	25163	1754413
1415	25185	1754676
1416	25200	1754483
1417	25216	1754330
1418	25232	1754171
1419	25248	1754023
1420	25263	1753815
1421	25279	1753706
1422	25293	1753394
1423	25316	1753725
1424	25330	1753452
1425	25345	1753292
1426	25361	1753107
1427	25377	1752966
1428	25392	1752770
1429	25405	1752399
1430	25421	1752317
1431	25443	1752548
1432	25459	1752410
1433	25475	1752257
1434	25490	1752044
1435	25505	1751847
1436	25521	1751696
1437	25537	1751554
1438	25552	1751346
1439	25573	1751602
1440	25590	1751532
1441	25607	1751424
1442	25622	1751228
1443	25635	1750890
1444	25652	1750798
1445	25667	1750598
1446	25683	1750454
1447	25706	1750797
1448	25721	1750636
1449	25735	1750304
1450	25750	1750146
1451	25765	1749936
1452	25779	1749619
1453	25795	1749500
1454	25809	1749255
1455	25830	1749447
1456	25845	1749223
1457	25860	1749036
1458	25876	1748888
1459	25891	1748708
1460	25907	1748541
1461	25922	1748373
1462	25938	1748217
1463	25958	1748381
1464	25977	1748405
1465	25992	1748238
1466	26008	1748097
1467	26024	1747959
1468	26040	1747787
1469	26054	1747558
1470	26068	1747250
1471	26087	1747344
1472	26105	1747324
1473	26119	1747100
1474	26132	1746774
1475	26151	1746797
1476	26168	1746734
1477	26186	1746717
1478	26201	1746555
1479	26220	1746647
1480	26238	1746626
1481	26254	1746451
1482	26268	1746222
1483	26284	1746114
1484	26300	1745981
1485	26317	1745854
1486	26332	1745685
1487	26353	1745913
1488	26370	1745822
1489	26383	1745497
1490	26399	1745351
1491	26415	1745199
1492	26428	1744892
1493	26443	1744729
1494	26456	1744377
1495	26475	1744412
1496	26496	1744671
1497	26521	1745122
1498	26541	1745267
1499	26555	1744966
1500	26571	1744831
